Bezeichnung,Bescheidwertnummer,Bescheidwert,forium-Wert,Unterschied
festgesetzte Einkommensteuer,650000613,"10.937,00","9.564,00","1.373,00"
Abzugsfähige Summe der Steuerermäßgungen nach § 35a EStG,650000635,"298,00","298,00","0,00"
Summe der Altersvorsorgeaufwendungen nach Kürzung steuerfreier Zuschüsse/Erstattungen,650000638,"11.259,00","11.259,00","0,00"
Prozentsatz zum Ansatz der Altersvorsorgeaufwendungen,650000642,"92,00","92,00","0,00"
Betrag der Altersvorsorgeaufw. vor Kürzung AG-Anteil,650000643,"10.359,00","10.359,00","0,00"
Summe der AG-Anteile,650000644,"5.629,00","5.629,00","0,00"
Abzugsfähige Altersvorsorgeaufwendungen,650000645,"4.730,00","4.730,00","0,00"
Summe der abziehbaren Vorsorgeaufwendungen (ab 2010: Wert nach § 10 Abs. 1 Nr. 3a EStG / bis 2009: nach AltEinkG),650000648,"6.630,00","6.630,00","0,00"
anzurechnende Lohnsteuer,650000650,"11.717,00","11.717,00","0,00"
verbleibende Einkommensteuer,650000654,"-780,00","-2.153,00","1.373,00"
Resttermine laufender Zeitraum,650000666,"2,00","2,00","0,00"
vorläufig wg. Solidaritätszuschlag,650000841,2,2,0
Handwerkerleistung § 35a Abs.3 (bis 2008: Abs.2 S.2) EStG,650000917,298,298,0
"Anspruch auf Zuschüsse zur KV/Krankheitskosten eingeben/generiert - A - 1=ja, 2=nein",650000946,1,1,0
Summe der abziehbaren Vorsorgeaufwendungen nach dem Bürgerentlastungsgesetz,650000970,10.189,10.189,0
/festgesetzte ESt ohne Steuer §32d EStG (ab 2011)/ESt gem. §51a EStG,660000961,"0,00",0,"0,00"
festzusetzender SolZ,660000975,"0,00","0,00","0,00"
einbehaltener SolZ zur Lohnsteuer,660000976,"0,00","0,00","0,00"
verbleibender Solidaritätszuschlag,660000978,"0,00","0,00","0,00"
Tage Entfernungspauschale -A-,670000124,133,133,0
Arbeitstage Entfernungspauschale -A- laut 1. Eintragung,670000126,133,133,0
km mit PKW Entfernungspauschale -A- laut 1. Eintragung,670000127,20,20,0
anzusetztende Entfernungspauschale -A-,670000159,1.264,1.264,0
km mit PKW tatsächliche Kosten -A- 1. Eintragung,670000163,30,30,0
Homeoffice-Pauschale -A- (ab VZ 2021),670000264,450,0,450
km mit PKW Entfernungspauschale ab dem 21. Kilometer (VZ 2021-2026) -A- laut 1. Eintragung,670000542,10,10,0
12,680000850,"-780,00","-2.153,00","1.373,00"
Bescheiddatum (TTMMJJJJ),680000852,03.06.2022,03.06.2022,0
Bescheidkennzeichnung 5,680000853,2,2,0
Rechentermin (TTMMJJJJ),680000857,25.05.2022,25.05.2022,0
bereits getilgter Betrag (Einkommensteuer),680000861,"0,00","0,00","0,00"
zuwenig/zuviel bezahlt (Einkommensteuer),680000863,"-780,00","-2.153,00","1.373,00"
bereits getilgter Betrag (Solidaritätszuschlag),680000865,"0,00","0,00","0,00"
zuwenig/zuviel bezahlt (Solidaritätszuschlag),680000867,"0,00","0,00","0,00"
Nachzahlungsdatum (Solidaritätszuschlag),680000887,25.05.2022,25.05.2022,0
IBAN (SEPA-Verfahren) bei Erstattung,680000888,6500850004661451,6500850004661451,0
Beiträge zur Basiskrankenversicherung -A- vor Abzug Kürzungsbetrag nach §10 I Nr. 3 Buchst. a Satz 4 EStG,690000400,4.613,4.613,0
Beiträge zur Pflegeversicherung -A-,690000402,1.030,1.030,0
Kürzungsbetrag nach § 10 Abs. 1 Nr. 3 S. 4 EStG,690000417,184,184,0
Gesamtbeiträge zur Basiskrankenversicherung nach Kürzung gem. § 10 (1) Nr. 3 Buchst. a S. 4 EStG (ab 2018 auch ausl. PV der Kinder),690000426,4.429,4.429,0
Ges. Basis-KV/PV-Beiträge nach BEntlG ohne Beitragsrückerstattung u. stfreie Zuschüsse,690000430,5.459,5.459,0
